EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Eastern Canada	15/03/1993 12:00:00 AM	Eastern Canada off Cape Sable Island NS, March 15, 1993. March blizzards caused by a mid-latitude cyclone which moved up the North American eastern seaboard eventually claimed more than 240 lives; at one point over 3 million people were left without electricity. On the 15th, the storm caused the sinking of the 177 metre Liberian-registered freighter, "Gold Bond Conveyor". Loaded with gypsum, it sank about 200 km off Cape Sable Island in waves up to 20 m and winds gusting up to 120 km/h, after setting sail from Halifax, Nova Scotia, despite warnings of hurricane-force winds.  Most crew members were from Hong Kong; there were no survivors of the 33 aboard.	33	0	0	19866000	1392476.6	15/03/1993 12:00:00 AM						19866000		0	0
Disaster	Natural	Biological	Epidemic	Prince Edward Island and New Brunswick	01/01/1993 12:00:00 AM	PVYN Potato Virus, Prince Edward Island and New Brunswick, 1993. Potato crops were affected.	0	0	0			01/01/1993 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie Provinces	01/01/1993 12:00:00 AM	Prairie Provinces, 1993. Severe and widespread surface water droughts reported on the Prairies.	0	0	0	0	0	01/01/1993 12:00:00 AM								0	0
Incident	Technology	Fire	Residential	St. John's NL	21/12/1992 12:00:00 AM	St. John's NL, December 21, 1992. 500 evacuated; the city's worst fire in 50 years touched off a series of propane tank explosions and forced evacuation of approximately 500 people, destroyed 11 businesses and left approximately 100 people homeless; the fire started in the 82-year-old Church Lads Brigade armoury; arson was suspected.	0	0	600			21/12/1992 12:00:00 AM	0	0						0	0
Incident	Technology	Hazardous Chemicals	Derailment Release	Oakville MB	18/12/1992 12:00:00 AM	Oakville MB, December 18, 1992. A 29-car derailment of a 41-car train and subsequent Chemical release caused the evacuation of the 410 residents of Oakville near Portage la Prairie for 24 days during the Christmas-New Year's period (Dec 18, 1992 to January 10, 1993).	0	0	410			18/12/1992 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	Ontario and Quebec	12/11/1992 12:00:00 AM	Ontario and Quebec, November 12-13, 1992.	0	0	0			13/11/1992 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Avalon and Burin Peninsulas and Bonavista, Trinity and Conception Bays NL	06/10/1992 12:00:00 AM	Avalon and Burin Peninsulas and Bonavista, Trinity and Conception Bays NL, October 6, 1992. A violent storm struck on the evening of the October 6 with winds of 139 km/h in some areas and 55 mm of rain; utility services were disrupted in many areas; the Canadian Coast Guard was kept busy with calls for assistance and for a period of time all flights in and out of St. John's International Airport were cancelled; several local area schools, a hospital, businesses and private residences were damaged; the storm continued unabated into Thursday October 8, with winds having subsided to the 70 km/h range.  About 2000 trees in St. John's were destroyed and many boats and fishing vessels were destroyed or damaged.	0	0	0	8945037	638931.2	06/10/1992 12:00:00 AM						8945037		0	0
Incident	Conflict	Terrorist	Bomb Attacks	Yellowknife NT	18/09/1992 12:00:00 AM	Yellowknife NT, September 18, 1992. A rail car in the Giant Yellowknife gold mine, 230 metres below ground, was ripped apart by a massive explosion, killing nine miners aboard; all had crossed a picket line to continue working during a legal strike which had begun five months earlier; six of the dead were former strikers while the other three were replacement workers; RCMP investigators said a deliberately-planted home-made bomb caused the blast; during the strike there had been picket line violence, deliberately set fires and at least two earlier, non-fatal, explosions.	9	0	0			18/09/1992 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Edmonton AB	01/09/1992 12:00:00 AM	Edmonton AB, September 1, 1992.	0	0	0	22522000	1608714.3	01/09/1992 12:00:00 AM			14434443			8087557		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Edmonton AB	28/08/1992 12:00:00 AM	Edmonton AB, August 28, 1992.	0	0	0	20170168	1440726.3	28/08/1992 12:00:00 AM			14434443			5735725		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Elmira ON	28/08/1992 12:00:00 AM	Elmira ON, August 28, 1992.	0	0	0	4738539	338467.1	28/08/1992 12:00:00 AM	0	0				4738539		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Toronto ON	31/07/1992 12:00:00 AM	Toronto ON, July 31, 1992.	0	0	0	5337940	381281.4	31/07/1992 12:00:00 AM	0	0				5337940		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Calgary AB	31/07/1992 12:00:00 AM	Calgary AB, July 31, 1992.	0	0	0	38495497	2749678.4	31/07/1992 12:00:00 AM			14434443			24061054		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Yukon Rivers YT	17/06/1992 12:00:00 AM	Yukon rivers YT, June 17 – July 1992. Above-average snowpack and precipitation combined with high winter temperatures caused flooding along the Upper Liard River basin, Teslin River basin, South Canol Area, Upper Lakes of the Yukon River basin, Stewart River and Bennett Lake.  The Upper Liard River basin peaked on June 17, the fifth highest record since 1960; Teslin River peaked on June 25, breaking the old record set in 1947; Yukon Upper Lakes peaked on July 30, the 3rd highest record since 1951. Flooding caused road washouts, damage to private property and reserves, and significant threats to water and sewere facilities. The hardest hit communities were: Upper Liard, Carmacks, Carcross and Teslin.	0	0	0	228636	16331.1	30/07/1992 12:00:00 AM	147321	81315						0	0
Incident	Technology	Hazardous Chemicals	Derailment Release	Longlac ON	25/05/1992 12:00:00 AM	Longlac ON, May 25, 1992. A freight train carrying 4 ammonia cars derailed causing a small leak in two of the cars; the damaged cars were pumped off and the other two were vented, releasing 453.6 kg of anhydrous ammonia to the atmosphere in a remote area; 800 people were evacuated for 3 days.	0	0	800			25/05/1992 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Attawapiskat ON	18/05/1992 12:00:00 AM	Attawapiskat ON, May 18, 1992. Approximately 1000 residents of this remote Cree village near James Bay were evacuated when the Attawapiskat River flooded.	0	0	1000			18/05/1992 12:00:00 AM	0	0						0	0
Incident	Technology	Explosion	Non-Residential	Plymouth NS	09/05/1992 12:00:00 AM	Plymouth NS, May 9, 1992. A coal-dust explosion detonated by burning methane gas at the Westray Mine (on the Foord Seam) in Plymouth, killed 26 miners of which 11 were killed by the explosion and the other 15 were presumed dead when rescue attempts were abandoned due to dangerous conditions and risk of another explosion.	26	0	0			09/05/1992 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Hay River NT	25/04/1992 12:00:00 AM	Hay River NT, April 25, 1992. Approximately 100 residents were evacuated as a 10-kilometre-deep ice jam at the mouth of the Hay River flooded the town of 3100 people.	0	0	100			25/04/1992 12:00:00 AM	0	0						0	0
Incident	Technology	Hazardous Chemicals	Vehicle Release	Nanaimo BC	26/03/1992 12:00:00 AM	Nanaimo BC, March 26, 1992. A tanker truck overturned in a residential area and leaked a total of 200 litres of methanol; three nearby apartment buildings (approximately 200 people) were evacuated for 5 hours, and traffic was detoured; concern of the methanol reaching marine waters via storm sewer.	0	0	200			26/03/1992 12:00:00 AM	0	0						0	0
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Sarnia ON	19/03/1992 12:00:00 AM	Sarnia ON, March 19, 1992. A problem with a heat exchanger unit of a rubber manufacturing plant caused the release of 1500 kg of  isobutylene to the St. Clair River in two consecutive spills, Mar. 19-20, 1992.; drinking water intakes were interrupted.	0	0	0			19/03/1992 12:00:00 AM	0	0						0	0
Incident	Technology	Hazardous Chemicals	Marine Release	Port-aux-Basques NL	13/03/1992 12:00:00 AM	23 miles west of Port-aux-Basques NL, March 13, 1992. The Panamanian bulk carrier M/V SKRIM sustained ice damage and leaked approximately 145 m³ of heavy oil into the ice near the vessel and onto the southwest shore of Newfoundland; some locations reported a thickness of 0.5 cm of oil on the rocks; clean-up operations were conducted.	0	0	0			13/03/1992 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Sainte-Brigitte-de-Laval, about 40 km north of Québec City QC	12/03/1992 12:00:00 AM	Sainte-Brigitte-de-Laval, about 40 km north of Québec City QC, March 12, 1992. Approximately 40 people were airlifted from this community on Ile Enchanteresse (a mile long island 40km north of QuÃƒÂ©bec City) when flood waters caused by an ice jam on the Montmorency River rapidly inundated the town, flooding 80 houses; two QuÃƒÂ©bec government helicopters and one Canadian Forces helicopter were used in the evacuation.	0	0	40	1012311	72307.9	12/03/1992 12:00:00 AM			1012311					0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Peace River AB	28/02/1992 12:00:00 AM	Peace River, 388 km northwest of Edmonton AB, February 28 - March 4, 1992. Unseasonably warm weather broke up the frozen Peace River, ice jams caused water levels to rise 4.3 m above average; water levels peaked at 15 m; extensive flooding necessitated the evacuation of approximately 3800 residents of the town for at least three days; approximately 20 homes sustained severe damage, 30 others were damaged but could be occupied; no deaths or injuries were reported.	0	0	3800	2866371	204740.8	04/03/1992 12:00:00 AM			2866371					0	0
Incident	Technology	Fire	Residential	Montréal QC	16/02/1992 12:00:00 AM	Montréal QC, February 16, 1992. Four large, commercial and residential heritage buildings in Old Montréal near historic Notre Dame Basilica were totally destroyed in a ten-hour blaze fought by more than 100 fire fighters; the Basilica, constructed between 1824 and 1829, sustained extensive smoke damage and broken windows.	0	0	0			16/02/1992 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Maritime Provinces	01/02/1992 12:00:00 AM	Maritime Provinces, February 1-4, 1992.  A 110-hour-long blizzard with gusts up to 140 km/h brought record snowfall of 163 cm to Moncton, New Brunswick; several other cities recorded more than 100 cm of snow; traffic was brought to a standstill; many stranded motorists had to be rescued, and many schools and businesses throughout the Maritimes were closed in the aftermath.	0	0	0	0	0	04/02/1992 12:00:00 AM	0	0						0	0
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Port au Choix NL	31/01/1992 12:00:00 AM	Port au Choix NL, January 31, 1992. 120,000 litres of diesel oil leaked from a storage tank and flowed downhill into the harbour; the major concern was the contamination of a lobster pond near the spill site which resulted in the lobsters being landed and stored in a holding area; a significant amount of oil was trapped by shorefast ice and a log boom was deployed to try and contain the contaminated ice; public concern was raised about fumes from the ice during spring thaw; charges under the Fisheries Act were brought against the manager of the fuel terminal.	0	0	0			31/01/1992 12:00:00 AM	0	0						0	0
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Corunna ON	21/01/1992 12:00:00 AM	Corunna ON, January 21, 1992. Abnormal discharge from a refinery of approximately 1000 kg of benzene, toluene and xylene into a sewer which drains to Telford Creek and St. Clair River; Wallaceburg and Walpole drinking water intakes were both closed for two days as the contamination moved down the river; a related fish kill was reported and the incident resulted in a conviction under the Ontario Environmental Protection Act.	0	0	0			21/01/1992 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie Provinces	01/01/1992 12:00:00 AM	Prairie Provinces, 1992. Livestock yields were low in northern Alberta and Saskatchewan due to dry conditions; severe and widespread surface water droughts reported on the Prairies; coldest July since 1884.	0	0	0	580597523	41471251.6	01/01/1992 12:00:00 AM			135289		580462234			0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Lethbridge AB	01/01/1992 12:00:00 AM	Lethbridge AB, 1992.	0	0	0	219277	15662.6	01/01/1992 12:00:00 AM			219277					0	0
Disaster	Natural	Meteorological - Hydrological	Cold Event	Prairies Provinces and Ontario	01/01/1992 12:00:00 AM	Prairie Provinces and Ontario, Summer 1992.  Unseasonable snow and frost during the months of June, July, and August caused massive damage to agricultural crops.	0	0	0	2000000	142857.1	01/01/1992 12:00:00 AM			2000000					0	0
Incident	Technology	Hazardous Chemicals	Marine Release	Haines AB	06/12/1991 12:00:00 AM	Haines AB, December 6, 1991. A frozen oil rig blew out while crews tried to thaw the pipes; crude oil (ground spill) and sour gas (airborne) were released continuously over 17 hours; complaints about odour were received from 20 km north of the site; 170 people were evacuated.	0	0	170			06/12/1991 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	Central Ontario	30/11/1991 12:00:00 AM	Central Ontario, November 30, 1991.	0	0	0	5982309	433500.7	30/11/1991 12:00:00 AM	0	0				5982309		0	0
Incident	Technology	Hazardous Chemicals	Fire	Grand Coulee SK	20/11/1991 12:00:00 AM	Grand Coulee SK, November 20, 1991. A fire in a storage depot containing 45 gallons of cyanide salts and 2500 gallons of bulk farm pesticide, phosphorus and a sodium-based chemical forced the evacuation of the 200 residents of Grand Coulee for about three hours.	0	0	200			20/11/1991 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Maritime Provinces	25/10/1991 12:00:00 AM	Maritime Provinces, especially Nova Scotia, October 25 - November 3, 1991. The "Halloween Storm" of 1991, was produced by two hurricanes: "Grace" and an unnamed storm over the north Atlantic; on the Scotian slope the highest wave in the world ever recorded by an instrument was measured as 30.7 metres.	0	0	0	0	0	03/11/1991 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	Vernon BC	16/10/1991 12:00:00 AM	Vernon BC, October 16, 1991.	0	0	0	4396737	318604.1	16/10/1991 12:00:00 AM	0	0				4396737		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Northwestern British Columbia	08/10/1991 12:00:00 AM	Northwestern British Columbia, October 8-14, 1991.  Flooding due to heavy rainfall along the Kitimat, Skeena and Nass rivers caused damage in Terrace, Stewart and Prince Rupert. Highways and forest service roads flooded and washed out, and numerous bridges were damaged or destroyed. There was erosion damage to spawning beds, and some landslides resulted. Communities along the Nass River isolated were isolated; fresh food had to be flown in through the Provincial Emergency Program.						14/10/1991 12:00:00 AM								4150761	0
